Entity,Year,DeathRate
Malaysia,1990,75.05081143774248
Malaysia,1991,75.27866286678524
Malaysia,1992,74.87093740605971
Malaysia,1993,73.44299015501721
Malaysia,1994,72.32910621640194
Malaysia,1995,72.88427720341554
Malaysia,1996,71.5933315032715
Malaysia,1997,69.55280985828742
Malaysia,1998,67.65544460765642
Malaysia,1999,67.8669109107208
Malaysia,2000,67.97280969143681
Malaysia,2001,66.94451077570311
Malaysia,2002,66.31451511742696
Malaysia,2003,66.57087988272306
Malaysia,2004,64.91231982180611
Malaysia,2005,62.20043248425084
Malaysia,2006,60.44884194343269
Malaysia,2007,59.27631732727242
Malaysia,2008,59.77707688718411
Malaysia,2009,60.29941950025271
Malaysia,2010,58.18783260324471
Malaysia,2011,55.56918631560375
Malaysia,2012,54.728795410621856
Malaysia,2013,51.35979513890539
Malaysia,2014,51.38007566729061
Malaysia,2015,52.55961698389653
Malaysia,2016,49.77763583288413
Malaysia,2017,50.44055047327774
World,1990,111.27636443968218
World,1991,110.07219721996069
World,1992,108.89226864114688
World,1993,107.7590215943773
World,1994,106.142782640316
World,1995,103.9098111048554
World,1996,102.00343339915618
World,1997,100.55489870880244
World,1998,98.60863437972613
World,1999,95.97299478557692
World,2000,93.70188554783944
World,2001,91.7177861689108
World,2002,90.16607801415223
World,2003,88.4720070199722
World,2004,85.52241984138892
World,2005,83.08974874546789
World,2006,80.42262592354253
World,2007,78.53168712834449
World,2008,77.29268247263394
World,2009,76.01453864312212
World,2010,74.85778936929644
World,2011,73.59929471327696
World,2012,71.09438592704238
World,2013,69.13054030843848
World,2014,67.38420426589634
World,2015,67.0815026475787
World,2016,65.15078460284298
World,2017,63.82296559636067
