Entity,Code,Year,Renewables (% equivalent primary energy)
Africa,,2022,8.9204855
Africa (EI),,2022,8.9204855
Algeria,DZA,2022,0.22791375
Argentina,ARG,2022,12.009511
Asia,,2022,11.3970175
Asia Pacific (EI),,2022,13.0057535
Australia,AUS,2022,13.247022
Austria,AUT,2022,35.134083
Azerbaijan,AZE,2022,2.1882486
Bangladesh,BGD,2022,0.6926618
Belarus,BLR,2022,1.1474723
Belgium,BEL,2022,10.436024
Brazil,BRA,2022,47.659924
Bulgaria,BGR,2022,12.026074
CIS (EI),,2022,5.787459
Canada,CAN,2022,29.496677
Central America (EI),,2022,30.39083
Chile,CHL,2022,26.07927
China,CHN,2022,15.217977
Colombia,COL,2022,28.383904
Croatia,HRV,2022,25.052818
Cyprus,CYP,2022,7.765375
Czechia,CZE,2022,7.4957795
Denmark,DNK,2022,40.791603
Eastern Africa (EI),,2022,32.007313
Ecuador,ECU,2022,28.426424
Egypt,EGY,2022,5.687224
Estonia,EST,2022,13.240793
Europe,,2022,15.607427
Europe (EI),,2022,19.817223
European Union (27),,2022,18.600784
Finland,FIN,2022,34.89674
France,FRA,2022,13.725916
Germany,DEU,2022,20.329155
Greece,GRC,2022,18.782621
High-income countries,,2022,12.450634
Hong Kong,HKG,2022,0.9266648
Hungary,HUN,2022,8.957309
Iceland,ISL,2022,82.07533
India,IND,2022,9.421208
Indonesia,IDN,2022,10.207819
Iran,IRN,2022,1.1119308
Iraq,IRQ,2022,1.0945245
Ireland,IRL,2022,19.420204
Israel,ISR,2022,5.3873425
Italy,ITA,2022,15.951095
Japan,JPN,2022,11.154245
Kazakhstan,KAZ,2022,3.9951282
Kuwait,KWT,2022,0.09280318
Latvia,LVA,2022,26.645931
Lithuania,LTU,2022,14.382126
Lower-middle-income countries,,2022,10.153687
Luxembourg,LUX,2022,11.034748
Malaysia,MYS,2022,7.832597
Mexico,MEX,2022,9.242802
Middle Africa (EI),,2022,28.16003
Middle East (EI),,2022,1.0575472
Morocco,MAR,2022,6.6156073
Netherlands,NLD,2022,14.416846
New Zealand,NZL,2022,43.294933
Non-OECD (EI),,2022,12.550353
North America,,2022,13.036164
North America (EI),,2022,12.988676
North Macedonia,MKD,2022,13.052943
Norway,NOR,2022,69.64841
OECD (EI),,2022,15.029241
Oceania,,2022,16.976364
Oman,OMN,2022,1.1359578
Other Asia Pacific (EI),,2022,24.11211
Other CIS (EI),,2022,37.2134
Other Caribbean (EI),,2022,5.2935014
Other Europe (EI),,2022,17.247856
Other Middle East (EI),,2022,4.221304
Other Northern Africa (EI),,2022,0.41771358
Other South America (EI),,2022,47.809074
Other Southern Africa (EI),,2022,10.8206625
Pakistan,PAK,2022,10.570694
Peru,PER,2022,26.155003
Philippines,PHL,2022,13.031899
Poland,POL,2022,9.369889
Portugal,PRT,2022,28.753206
Qatar,QAT,2022,0.19232824
Romania,ROU,2022,17.783123
Russia,RUS,2022,5.920469
Saudi Arabia,SAU,2022,0.1567925
Singapore,SGP,2022,0.5213485
Slovakia,SVK,2022,9.672483
Slovenia,SVN,2022,15.911842
South Africa,ZAF,2022,3.6482332
South America,,2022,36.277466
South Korea,KOR,2022,4.3325253
South and Central America (EI),,2022,33.62554
Spain,ESP,2022,20.876808
Sri Lanka,LKA,2022,23.448969
Sweden,SWE,2022,52.433502
Switzerland,CHE,2022,31.095837
Taiwan,TWN,2022,4.2349353
Thailand,THA,2022,7.247943
Trinidad and Tobago,TTO,2022,0.008880703
Turkey,TUR,2022,18.035873
Turkmenistan,TKM,2022,0.005265348
Ukraine,UKR,2022,7.502861
United Arab Emirates,ARE,2022,1.411247
United Kingdom,GBR,2022,19.072384
United States,USA,2022,10.874506
Upper-middle-income countries,,2022,14.935202
Uzbekistan,UZB,2022,2.3873246
Venezuela,VEN,2022,26.4843
Vietnam,VNM,2022,25.312202
Western Africa (EI),,2022,6.963894
World,OWID_WRL,2022,13.503552
